Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2018,01,00,2018,0,162075000,155761000,6314000,3.90,62.9,60.4,20180100,01201800,0,No,0
New Mexico,000000,01,35,3501000000,NM,2018,01,00,2018,0,947642,900803,46839,4.90,58.1,55.2,20180100,01201800,1,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,01,00,2018,0,331465,316532,14933,4.50,,,20180100,01201800,2,No,0
Catron County,000003,04,35,3504000003,NM,2018,01,00,2018,0,1125,1053,72,6.40,,,20180100,01201800,3,No,0
Chaves County,000005,04,35,3504000005,NM,2018,01,00,2018,0,27327,26000,1327,4.90,,,20180100,01201800,4,No,0
Cibola County,000006,04,35,3504000006,NM,2018,01,00,2018,0,8988,8428,560,6.20,,,20180100,01201800,5,No,0
Colfax County,000007,04,35,3504000007,NM,2018,01,00,2018,0,5536,5265,271,4.90,,,20180100,01201800,6,No,0
Curry County,000009,04,35,3504000009,NM,2018,01,00,2018,0,21746,20873,873,4.00,,,20180100,01201800,7,No,0
De Baca County,000011,04,35,3504000011,NM,2018,01,00,2018,0,770,736,34,4.40,,,20180100,01201800,8,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,01,00,2018,0,97154,91628,5526,5.70,,,20180100,01201800,9,No,0
Eddy County,000015,04,35,3504000015,NM,2018,01,00,2018,0,31766,30709,1057,3.30,,,20180100,01201800,10,No,0
Grant County,000017,04,35,3504000017,NM,2018,01,00,2018,0,12377,11779,598,4.80,,,20180100,01201800,11,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,01,00,2018,0,1632,1542,90,5.50,,,20180100,01201800,12,No,0
Harding County,000021,04,35,3504000021,NM,2018,01,00,2018,0,280,265,15,5.40,,,20180100,01201800,13,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,01,00,2018,0,2226,2142,84,3.80,,,20180100,01201800,14,No,0
Lea County,000025,04,35,3504000025,NM,2018,01,00,2018,0,30186,28936,1250,4.10,,,20180100,01201800,15,No,0
Lincoln County,000027,04,35,3504000027,NM,2018,01,00,2018,0,8775,8375,400,4.60,,,20180100,01201800,16,No,0
Los Alamos County,000028,04,35,3504000028,NM,2018,01,00,2018,0,9165,8853,312,3.40,,,20180100,01201800,17,No,0
Luna County,000029,04,35,3504000029,NM,2018,01,00,2018,0,10213,9004,1209,11.80,,,20180100,01201800,18,No,0
McKinley County,000031,04,35,3504000031,NM,2018,01,00,2018,0,23983,22281,1702,7.10,,,20180100,01201800,19,No,0
Mora County,000033,04,35,3504000033,NM,2018,01,00,2018,0,2291,2152,139,6.10,,,20180100,01201800,20,No,0
Otero County,000035,04,35,3504000035,NM,2018,01,00,2018,0,24846,23625,1221,4.90,,,20180100,01201800,21,No,0
Quay County,000037,04,35,3504000037,NM,2018,01,00,2018,0,3233,3078,155,4.80,,,20180100,01201800,22,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2018,01,00,2018,0,16728,15858,870,5.20,,,20180100,01201800,23,No,0
Roosevelt County,000041,04,35,3504000041,NM,2018,01,00,2018,0,7876,7535,341,4.30,,,20180100,01201800,24,No,0
Sandoval County,000043,04,35,3504000043,NM,2018,01,00,2018,0,66038,62774,3264,4.90,,,20180100,01201800,25,No,0
San Juan County,000045,04,35,3504000045,NM,2018,01,00,2018,0,52605,49572,3033,5.80,,,20180100,01201800,26,No,0
San Miguel County,000047,04,35,3504000047,NM,2018,01,00,2018,0,10990,10339,651,5.90,,,20180100,01201800,27,No,0
Santa Fe County,000049,04,35,3504000049,NM,2018,01,00,2018,0,74640,71548,3092,4.10,,,20180100,01201800,28,No,0
Sierra County,000051,04,35,3504000051,NM,2018,01,00,2018,0,4119,3831,288,7.00,,,20180100,01201800,29,No,0
Socorro County,000053,04,35,3504000053,NM,2018,01,00,2018,0,6487,6145,342,5.30,,,20180100,01201800,30,No,0
Taos County,000055,04,35,3504000055,NM,2018,01,00,2018,0,15102,14120,982,6.50,,,20180100,01201800,31,No,0
Torrance County,000057,04,35,3504000057,NM,2018,01,00,2018,0,5648,5218,430,7.60,,,20180100,01201800,32,No,0
Union County,000059,04,35,3504000059,NM,2018,01,00,2018,0,1794,1735,59,3.30,,,20180100,01201800,33,No,0
Valencia County,000061,04,35,3504000061,NM,2018,01,00,2018,0,30536,28875,1661,5.40,,,20180100,01201800,34,No,0
Central Region,000005,15,35,3515000005,NM,2018,01,00,2018,0,433687,413399,20288,4.70,,,20180100,01201800,35,No,0
Southwestern Region,000010,15,35,3515000010,NM,2018,01,00,2018,0,133701,125582,8119,6.10,,,20180100,01201800,36,No,0
Northern Region,000015,15,35,3515000015,NM,2018,01,00,2018,0,220028,208416,11612,5.30,,,20180100,01201800,37,No,0
Eastern Region,000020,15,35,3515000020,NM,2018,01,00,2018,0,160231,153409,6822,4.30,,,20180100,01201800,38,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2018,01,00,2018,0,433687,413399,20288,4.70,,,20180100,01201800,39,No,0
Farmington MSA,022140,21,35,3521022140,NM,2018,01,00,2018,0,52605,49572,3033,5.80,,,20180100,01201800,40,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2018,01,00,2018,0,97154,91628,5526,5.70,,,20180100,01201800,41,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2018,01,00,2018,0,74640,71548,3092,4.10,,,20180100,01201800,42,No,0
United States,000000,00,00,0000000000,US,2018,03,01,"January, 2018",0,160037000,152848000,7189000,4.50,62.3,59.5,20180301,03201801,43,No,0
New Mexico,000000,01,35,3501000000,NM,2018,03,01,"January, 2018",0,936837,886346,50491,5.40,57.5,54.4,20180301,03201801,44,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,03,01,"January, 2018",0,328827,313155,15672,4.80,,,20180301,03201801,45,No,0
Catron County,000003,04,35,3504000003,NM,2018,03,01,"January, 2018",0,1154,1063,91,7.90,,,20180301,03201801,46,No,0
Chaves County,000005,04,35,3504000005,NM,2018,03,01,"January, 2018",0,27308,25862,1446,5.30,,,20180301,03201801,47,No,0
Cibola County,000006,04,35,3504000006,NM,2018,03,01,"January, 2018",0,8949,8354,595,6.60,,,20180301,03201801,48,No,0
Colfax County,000007,04,35,3504000007,NM,2018,03,01,"January, 2018",0,5460,5166,294,5.40,,,20180301,03201801,49,No,0
Curry County,000009,04,35,3504000009,NM,2018,03,01,"January, 2018",0,21778,20894,884,4.10,,,20180301,03201801,50,No,0
De Baca County,000011,04,35,3504000011,NM,2018,03,01,"January, 2018",0,814,780,34,4.20,,,20180301,03201801,51,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,03,01,"January, 2018",0,94995,88925,6070,6.40,,,20180301,03201801,52,No,0
Eddy County,000015,04,35,3504000015,NM,2018,03,01,"January, 2018",0,30369,29253,1116,3.70,,,20180301,03201801,53,No,0
Grant County,000017,04,35,3504000017,NM,2018,03,01,"January, 2018",0,12142,11492,650,5.40,,,20180301,03201801,54,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,03,01,"January, 2018",0,1598,1505,93,5.80,,,20180301,03201801,55,No,0
Harding County,000021,04,35,3504000021,NM,2018,03,01,"January, 2018",0,273,260,13,4.80,,,20180301,03201801,56,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,03,01,"January, 2018",0,2150,2044,106,4.90,,,20180301,03201801,57,No,0
Lea County,000025,04,35,3504000025,NM,2018,03,01,"January, 2018",0,28821,27477,1344,4.70,,,20180301,03201801,58,No,0
Lincoln County,000027,04,35,3504000027,NM,2018,03,01,"January, 2018",0,8491,8049,442,5.20,,,20180301,03201801,59,No,0
Los Alamos County,000028,04,35,3504000028,NM,2018,03,01,"January, 2018",0,8970,8660,310,3.50,,,20180301,03201801,60,No,0
Luna County,000029,04,35,3504000029,NM,2018,03,01,"January, 2018",0,10097,8410,1687,16.70,,,20180301,03201801,61,No,0
McKinley County,000031,04,35,3504000031,NM,2018,03,01,"January, 2018",0,24213,22374,1839,7.60,,,20180301,03201801,62,No,0
Mora County,000033,04,35,3504000033,NM,2018,03,01,"January, 2018",0,2182,2013,169,7.70,,,20180301,03201801,63,No,0
Otero County,000035,04,35,3504000035,NM,2018,03,01,"January, 2018",0,25019,23715,1304,5.20,,,20180301,03201801,64,No,0
Quay County,000037,04,35,3504000037,NM,2018,03,01,"January, 2018",0,3186,3034,152,4.80,,,20180301,03201801,65,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2018,03,01,"January, 2018",0,16325,15366,959,5.90,,,20180301,03201801,66,No,0
Roosevelt County,000041,04,35,3504000041,NM,2018,03,01,"January, 2018",0,7948,7610,338,4.30,,,20180301,03201801,67,No,0
Sandoval County,000043,04,35,3504000043,NM,2018,03,01,"January, 2018",0,65508,62024,3484,5.30,,,20180301,03201801,68,No,0
San Juan County,000045,04,35,3504000045,NM,2018,03,01,"January, 2018",0,52899,49562,3337,6.30,,,20180301,03201801,69,No,0
San Miguel County,000047,04,35,3504000047,NM,2018,03,01,"January, 2018",0,10832,10118,714,6.60,,,20180301,03201801,70,No,0
Santa Fe County,000049,04,35,3504000049,NM,2018,03,01,"January, 2018",0,72870,69591,3279,4.50,,,20180301,03201801,71,No,0
Sierra County,000051,04,35,3504000051,NM,2018,03,01,"January, 2018",0,3894,3564,330,8.50,,,20180301,03201801,72,No,0
Socorro County,000053,04,35,3504000053,NM,2018,03,01,"January, 2018",0,6448,6091,357,5.50,,,20180301,03201801,73,No,0
Taos County,000055,04,35,3504000055,NM,2018,03,01,"January, 2018",0,15640,14564,1076,6.90,,,20180301,03201801,74,No,0
Torrance County,000057,04,35,3504000057,NM,2018,03,01,"January, 2018",0,5595,5077,518,9.30,,,20180301,03201801,75,No,0
Union County,000059,04,35,3504000059,NM,2018,03,01,"January, 2018",0,1831,1775,56,3.10,,,20180301,03201801,76,No,0
Valencia County,000061,04,35,3504000061,NM,2018,03,01,"January, 2018",0,30250,28520,1730,5.70,,,20180301,03201801,77,No,0
Central Region,000005,15,35,3515000005,NM,2018,03,01,"January, 2018",0,430180,408776,21404,5.00,,,20180301,03201801,78,No,0
Southwestern Region,000010,15,35,3515000010,NM,2018,03,01,"January, 2018",0,130880,121589,9291,7.10,,,20180301,03201801,79,No,0
Northern Region,000015,15,35,3515000015,NM,2018,03,01,"January, 2018",0,218340,205768,12572,5.80,,,20180301,03201801,80,No,0
Eastern Region,000020,15,35,3515000020,NM,2018,03,01,"January, 2018",0,157436,150214,7222,4.60,,,20180301,03201801,81,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2018,03,01,"January, 2018",0,430180,408776,21404,5.00,,,20180301,03201801,82,No,0
Farmington MSA,022140,21,35,3521022140,NM,2018,03,01,"January, 2018",0,52899,49562,3337,6.30,,,20180301,03201801,83,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2018,03,01,"January, 2018",0,94995,88925,6070,6.40,,,20180301,03201801,84,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2018,03,01,"January, 2018",0,72870,69591,3279,4.50,,,20180301,03201801,85,No,0
United States,000000,00,00,0000000000,US,2018,03,02,"February, 2018",0,161494000,154403000,7091000,4.40,62.9,60.1,20180302,03201802,86,No,0
New Mexico,000000,01,35,3501000000,NM,2018,03,02,"February, 2018",0,945936,896251,49685,5.30,58.1,55.0,20180302,03201802,87,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,03,02,"February, 2018",0,331417,316023,15394,4.60,,,20180302,03201802,88,No,0
Catron County,000003,04,35,3504000003,NM,2018,03,02,"February, 2018",0,1089,1011,78,7.20,,,20180302,03201802,89,No,0
Chaves County,000005,04,35,3504000005,NM,2018,03,02,"February, 2018",0,27523,26115,1408,5.10,,,20180302,03201802,90,No,0
Cibola County,000006,04,35,3504000006,NM,2018,03,02,"February, 2018",0,8985,8408,577,6.40,,,20180302,03201802,91,No,0
Colfax County,000007,04,35,3504000007,NM,2018,03,02,"February, 2018",0,5372,5091,281,5.20,,,20180302,03201802,92,No,0
Curry County,000009,04,35,3504000009,NM,2018,03,02,"February, 2018",0,21961,21111,850,3.90,,,20180302,03201802,93,No,0
De Baca County,000011,04,35,3504000011,NM,2018,03,02,"February, 2018",0,781,748,33,4.20,,,20180302,03201802,94,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,03,02,"February, 2018",0,97380,91201,6179,6.30,,,20180302,03201802,95,No,0
Eddy County,000015,04,35,3504000015,NM,2018,03,02,"February, 2018",0,31078,30004,1074,3.50,,,20180302,03201802,96,No,0
Grant County,000017,04,35,3504000017,NM,2018,03,02,"February, 2018",0,12313,11682,631,5.10,,,20180302,03201802,97,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,03,02,"February, 2018",0,1617,1525,92,5.70,,,20180302,03201802,98,No,0
Harding County,000021,04,35,3504000021,NM,2018,03,02,"February, 2018",0,273,259,14,5.10,,,20180302,03201802,99,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,03,02,"February, 2018",0,2169,2070,99,4.60,,,20180302,03201802,100,No,0
Lea County,000025,04,35,3504000025,NM,2018,03,02,"February, 2018",0,29375,28083,1292,4.40,,,20180302,03201802,101,No,0
Lincoln County,000027,04,35,3504000027,NM,2018,03,02,"February, 2018",0,8467,8043,424,5.00,,,20180302,03201802,102,No,0
Los Alamos County,000028,04,35,3504000028,NM,2018,03,02,"February, 2018",0,9064,8754,310,3.40,,,20180302,03201802,103,No,0
Luna County,000029,04,35,3504000029,NM,2018,03,02,"February, 2018",0,10207,8516,1691,16.60,,,20180302,03201802,104,No,0
McKinley County,000031,04,35,3504000031,NM,2018,03,02,"February, 2018",0,24239,22463,1776,7.30,,,20180302,03201802,105,No,0
Mora County,000033,04,35,3504000033,NM,2018,03,02,"February, 2018",0,2236,2064,172,7.70,,,20180302,03201802,106,No,0
Otero County,000035,04,35,3504000035,NM,2018,03,02,"February, 2018",0,24992,23735,1257,5.00,,,20180302,03201802,107,No,0
Quay County,000037,04,35,3504000037,NM,2018,03,02,"February, 2018",0,3224,3081,143,4.40,,,20180302,03201802,108,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2018,03,02,"February, 2018",0,16480,15528,952,5.80,,,20180302,03201802,109,No,0
Roosevelt County,000041,04,35,3504000041,NM,2018,03,02,"February, 2018",0,8169,7840,329,4.00,,,20180302,03201802,110,No,0
Sandoval County,000043,04,35,3504000043,NM,2018,03,02,"February, 2018",0,66067,62628,3439,5.20,,,20180302,03201802,111,No,0
San Juan County,000045,04,35,3504000045,NM,2018,03,02,"February, 2018",0,53433,50236,3197,6.00,,,20180302,03201802,112,No,0
San Miguel County,000047,04,35,3504000047,NM,2018,03,02,"February, 2018",0,11102,10409,693,6.20,,,20180302,03201802,113,No,0
Santa Fe County,000049,04,35,3504000049,NM,2018,03,02,"February, 2018",0,73314,70028,3286,4.50,,,20180302,03201802,114,No,0
Sierra County,000051,04,35,3504000051,NM,2018,03,02,"February, 2018",0,3902,3566,336,8.60,,,20180302,03201802,115,No,0
Socorro County,000053,04,35,3504000053,NM,2018,03,02,"February, 2018",0,6542,6185,357,5.50,,,20180302,03201802,116,No,0
Taos County,000055,04,35,3504000055,NM,2018,03,02,"February, 2018",0,15317,14257,1060,6.90,,,20180302,03201802,117,No,0
Torrance County,000057,04,35,3504000057,NM,2018,03,02,"February, 2018",0,5614,5115,499,8.90,,,20180302,03201802,118,No,0
Union County,000059,04,35,3504000059,NM,2018,03,02,"February, 2018",0,1819,1766,53,2.90,,,20180302,03201802,119,No,0
Valencia County,000061,04,35,3504000061,NM,2018,03,02,"February, 2018",0,30416,28707,1709,5.60,,,20180302,03201802,120,No,0
Central Region,000005,15,35,3515000005,NM,2018,03,02,"February, 2018",0,433514,412473,21041,4.90,,,20180302,03201802,121,No,0
Southwestern Region,000010,15,35,3515000010,NM,2018,03,02,"February, 2018",0,133602,124231,9371,7.00,,,20180302,03201802,122,No,0
Northern Region,000015,15,35,3515000015,NM,2018,03,02,"February, 2018",0,219542,207238,12304,5.60,,,20180302,03201802,123,No,0
Eastern Region,000020,15,35,3515000020,NM,2018,03,02,"February, 2018",0,159279,152310,6969,4.40,,,20180302,03201802,124,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2018,03,02,"February, 2018",0,433514,412473,21041,4.90,,,20180302,03201802,125,No,0
Farmington MSA,022140,21,35,3521022140,NM,2018,03,02,"February, 2018",0,53433,50236,3197,6.00,,,20180302,03201802,126,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2018,03,02,"February, 2018",0,97380,91201,6179,6.30,,,20180302,03201802,127,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2018,03,02,"February, 2018",0,73314,70028,3286,4.50,,,20180302,03201802,128,No,0
United States,000000,00,00,0000000000,US,2018,03,03,"March, 2018",0,161548000,154877000,6671000,4.10,62.8,60.2,20180303,03201803,129,No,0
New Mexico,000000,01,35,3501000000,NM,2018,03,03,"March, 2018",0,939960,895684,44276,4.70,57.7,55.0,20180303,03201803,130,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,03,03,"March, 2018",0,329182,315470,13712,4.20,,,20180303,03201803,131,No,0
Catron County,000003,04,35,3504000003,NM,2018,03,03,"March, 2018",0,1079,1009,70,6.50,,,20180303,03201803,132,No,0
Chaves County,000005,04,35,3504000005,NM,2018,03,03,"March, 2018",0,27253,26030,1223,4.50,,,20180303,03201803,133,No,0
Cibola County,000006,04,35,3504000006,NM,2018,03,03,"March, 2018",0,8888,8372,516,5.80,,,20180303,03201803,134,No,0
Colfax County,000007,04,35,3504000007,NM,2018,03,03,"March, 2018",0,5324,5079,245,4.60,,,20180303,03201803,135,No,0
Curry County,000009,04,35,3504000009,NM,2018,03,03,"March, 2018",0,21776,21000,776,3.60,,,20180303,03201803,136,No,0
De Baca County,000011,04,35,3504000011,NM,2018,03,03,"March, 2018",0,779,747,32,4.10,,,20180303,03201803,137,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,03,03,"March, 2018",0,96768,91155,5613,5.80,,,20180303,03201803,138,No,0
Eddy County,000015,04,35,3504000015,NM,2018,03,03,"March, 2018",0,30897,29935,962,3.10,,,20180303,03201803,139,No,0
Grant County,000017,04,35,3504000017,NM,2018,03,03,"March, 2018",0,12333,11767,566,4.60,,,20180303,03201803,140,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,03,03,"March, 2018",0,1638,1557,81,4.90,,,20180303,03201803,141,No,0
Harding County,000021,04,35,3504000021,NM,2018,03,03,"March, 2018",0,274,261,13,4.70,,,20180303,03201803,142,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,03,03,"March, 2018",0,2150,2070,80,3.70,,,20180303,03201803,143,No,0
Lea County,000025,04,35,3504000025,NM,2018,03,03,"March, 2018",0,29314,28144,1170,4.00,,,20180303,03201803,144,No,0
Lincoln County,000027,04,35,3504000027,NM,2018,03,03,"March, 2018",0,8435,8066,369,4.40,,,20180303,03201803,145,No,0
Los Alamos County,000028,04,35,3504000028,NM,2018,03,03,"March, 2018",0,9034,8747,287,3.20,,,20180303,03201803,146,No,0
Luna County,000029,04,35,3504000029,NM,2018,03,03,"March, 2018",0,10148,8645,1503,14.80,,,20180303,03201803,147,No,0
McKinley County,000031,04,35,3504000031,NM,2018,03,03,"March, 2018",0,23987,22400,1587,6.60,,,20180303,03201803,148,No,0
Mora County,000033,04,35,3504000033,NM,2018,03,03,"March, 2018",0,2243,2093,150,6.70,,,20180303,03201803,149,No,0
Otero County,000035,04,35,3504000035,NM,2018,03,03,"March, 2018",0,24809,23706,1103,4.40,,,20180303,03201803,150,No,0
Quay County,000037,04,35,3504000037,NM,2018,03,03,"March, 2018",0,3210,3077,133,4.10,,,20180303,03201803,151,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2018,03,03,"March, 2018",0,16413,15570,843,5.10,,,20180303,03201803,152,No,0
Roosevelt County,000041,04,35,3504000041,NM,2018,03,03,"March, 2018",0,8140,7847,293,3.60,,,20180303,03201803,153,No,0
Sandoval County,000043,04,35,3504000043,NM,2018,03,03,"March, 2018",0,65554,62502,3052,4.70,,,20180303,03201803,154,No,0
San Juan County,000045,04,35,3504000045,NM,2018,03,03,"March, 2018",0,53045,50207,2838,5.40,,,20180303,03201803,155,No,0
San Miguel County,000047,04,35,3504000047,NM,2018,03,03,"March, 2018",0,11008,10384,624,5.70,,,20180303,03201803,156,No,0
Santa Fe County,000049,04,35,3504000049,NM,2018,03,03,"March, 2018",0,73054,70190,2864,3.90,,,20180303,03201803,157,No,0
Sierra County,000051,04,35,3504000051,NM,2018,03,03,"March, 2018",0,3882,3566,316,8.10,,,20180303,03201803,158,No,0
Socorro County,000053,04,35,3504000053,NM,2018,03,03,"March, 2018",0,6513,6201,312,4.80,,,20180303,03201803,159,No,0
Taos County,000055,04,35,3504000055,NM,2018,03,03,"March, 2018",0,15210,14279,931,6.10,,,20180303,03201803,160,No,0
Torrance County,000057,04,35,3504000057,NM,2018,03,03,"March, 2018",0,5576,5151,425,7.60,,,20180303,03201803,161,No,0
Union County,000059,04,35,3504000059,NM,2018,03,03,"March, 2018",0,1808,1761,47,2.60,,,20180303,03201803,162,No,0
Valencia County,000061,04,35,3504000061,NM,2018,03,03,"March, 2018",0,30236,28696,1540,5.10,,,20180303,03201803,163,No,0
Central Region,000005,15,35,3515000005,NM,2018,03,03,"March, 2018",0,430548,411819,18729,4.40,,,20180303,03201803,164,No,0
Southwestern Region,000010,15,35,3515000010,NM,2018,03,03,"March, 2018",0,132873,124413,8460,6.40,,,20180303,03201803,165,No,0
Northern Region,000015,15,35,3515000015,NM,2018,03,03,"March, 2018",0,218206,207321,10885,5.00,,,20180303,03201803,166,No,0
Eastern Region,000020,15,35,3515000020,NM,2018,03,03,"March, 2018",0,158333,152131,6202,3.90,,,20180303,03201803,167,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2018,03,03,"March, 2018",0,430548,411819,18729,4.40,,,20180303,03201803,168,No,0
Farmington MSA,022140,21,35,3521022140,NM,2018,03,03,"March, 2018",0,53045,50207,2838,5.40,,,20180303,03201803,169,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2018,03,03,"March, 2018",0,96768,91155,5613,5.80,,,20180303,03201803,170,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2018,03,03,"March, 2018",0,73054,70190,2864,3.90,,,20180303,03201803,171,No,0
United States,000000,00,00,0000000000,US,2018,03,04,"April, 2018",0,161280000,155348000,5932000,3.70,62.7,60.4,20180304,03201804,172,No,0
New Mexico,000000,01,35,3501000000,NM,2018,03,04,"April, 2018",0,942692,900799,41893,4.40,57.9,55.3,20180304,03201804,173,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,03,04,"April, 2018",0,330574,317486,13088,4.00,,,20180304,03201804,174,No,0
Catron County,000003,04,35,3504000003,NM,2018,03,04,"April, 2018",0,1118,1055,63,5.60,,,20180304,03201804,175,No,0
Chaves County,000005,04,35,3504000005,NM,2018,03,04,"April, 2018",0,27294,26160,1134,4.20,,,20180304,03201804,176,No,0
Cibola County,000006,04,35,3504000006,NM,2018,03,04,"April, 2018",0,8939,8461,478,5.30,,,20180304,03201804,177,No,0
Colfax County,000007,04,35,3504000007,NM,2018,03,04,"April, 2018",0,5108,4848,260,5.10,,,20180304,03201804,178,No,0
Curry County,000009,04,35,3504000009,NM,2018,03,04,"April, 2018",0,21790,21045,745,3.40,,,20180304,03201804,179,No,0
De Baca County,000011,04,35,3504000011,NM,2018,03,04,"April, 2018",0,769,739,30,3.90,,,20180304,03201804,180,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,03,04,"April, 2018",0,97069,91804,5265,5.40,,,20180304,03201804,181,No,0
Eddy County,000015,04,35,3504000015,NM,2018,03,04,"April, 2018",0,31277,30369,908,2.90,,,20180304,03201804,182,No,0
Grant County,000017,04,35,3504000017,NM,2018,03,04,"April, 2018",0,12618,12107,511,4.00,,,20180304,03201804,183,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,03,04,"April, 2018",0,1616,1538,78,4.80,,,20180304,03201804,184,No,0
Harding County,000021,04,35,3504000021,NM,2018,03,04,"April, 2018",0,269,255,14,5.20,,,20180304,03201804,185,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,03,04,"April, 2018",0,2234,2163,71,3.20,,,20180304,03201804,186,No,0
